"Date_Time","Pollutant","Unit","Station","Instrument","Average"
"01/18/2016 07:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","8.9"
"01/18/2016 08:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","4.9"
"01/18/2016 09:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","2.1"
"01/18/2016 10:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","4.1"
"01/18/2016 11:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","6"
"01/18/2016 12:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","5"
"01/19/2016 01:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","4"
"01/19/2016 02:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","2.9"
"01/19/2016 03:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","0"
"01/19/2016 04:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","1.1"
"01/19/2016 05:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","4"
"01/19/2016 06:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","3.1"
"01/19/2016 07:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","5"
"01/19/2016 08:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","3.9"
"01/19/2016 09:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","2.1"
"01/19/2016 10:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","4.9"
"01/19/2016 11:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","2.9"
"01/19/2016 12:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","1.1"
"01/19/2016 01:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","3"
"01/19/2016 02:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","3"
"01/19/2016 03:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","2"
"01/19/2016 04:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","3.1"
"01/19/2016 05:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","5"
"01/19/2016 06:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","5"
"01/19/2016 07:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","3.9"
"01/19/2016 08:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","2"
"01/19/2016 09:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","2"
"01/19/2016 10:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","3.1"
"01/19/2016 11:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","6"
"01/19/2016 12:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","6"
"01/20/2016 01:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","5"
"01/20/2016 02:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","4.9"
"01/20/2016 03:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","3.1"
"01/20/2016 04:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","7"
"01/20/2016 05:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","7.9"
"01/20/2016 06:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","4"
"01/20/2016 07:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","5"
"01/20/2016 08:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","4"
"01/20/2016 09:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","4"
"01/20/2016 10:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","5"
"01/20/2016 11:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","4"
"01/20/2016 12:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","4"
"01/20/2016 01:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","3"
"01/20/2016 04:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","6.9"
"01/20/2016 07:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","4"
"01/20/2016 08:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","3"
"01/20/2016 09:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","4.1"
"01/20/2016 10:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","7.9"
"01/20/2016 11:00:00 PM","PM2.5","µg/m3","Kentville","BAM1020","4.8"
"01/20/2016 12:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","0"
"01/21/2016 01:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","5"
"01/21/2016 02:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","5.9"
"01/21/2016 03:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","4"
"01/21/2016 04:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","3"
"01/21/2016 05:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","2"
"01/21/2016 06:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","3.1"
"01/21/2016 07:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","4.9"
"01/21/2016 08:00:00 AM","PM2.5","µg/m3","Kentville","BAM1020","2.9"
