"Date_Time","Pollutant","Unit","Station","Instrument","Average"
"04/16/2006 02:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/16/2006 03:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/16/2006 04:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/16/2006 05:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/16/2006 06:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/16/2006 07:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/16/2006 08:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/16/2006 09:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/16/2006 10:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/16/2006 11:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/16/2006 12:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/17/2006 01:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/17/2006 02:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/17/2006 03:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/17/2006 04:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/17/2006 05:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/17/2006 06:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/17/2006 07:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/17/2006 08:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/17/2006 09:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/17/2006 10:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/17/2006 11:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/17/2006 12:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/17/2006 01:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/17/2006 02:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/17/2006 03:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/17/2006 04:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/17/2006 05:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/17/2006 06:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/17/2006 07:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/17/2006 08:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/17/2006 09:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/17/2006 10:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/17/2006 11:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/17/2006 12:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/18/2006 01:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/18/2006 02:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/18/2006 03:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/18/2006 04:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/18/2006 05:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/18/2006 06:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/18/2006 07:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/18/2006 08:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/18/2006 09:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/18/2006 10:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/18/2006 11:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/18/2006 12:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/18/2006 01:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/18/2006 02:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/18/2006 03:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/18/2006 04:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/18/2006 05:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/18/2006 06:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/18/2006 07:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/18/2006 08:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/18/2006 09:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/18/2006 10:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/18/2006 11:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/18/2006 12:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/19/2006 01:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/19/2006 02:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/19/2006 03:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/19/2006 04:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/19/2006 05:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/19/2006 06:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/19/2006 07:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/19/2006 08:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/19/2006 09:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/19/2006 10:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/19/2006 11:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/19/2006 12:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","0"
"04/19/2006 01:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","1"
"04/19/2006 02:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/19/2006 03:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/19/2006 04:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/19/2006 05:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/19/2006 06:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/19/2006 07:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/19/2006 08:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/19/2006 09:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/19/2006 10:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/19/2006 11:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/19/2006 12:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/20/2006 01:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/20/2006 02:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/20/2006 03:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/20/2006 04:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/20/2006 05:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/20/2006 06:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/20/2006 07:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","7"
"04/20/2006 08:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","7"
"04/20/2006 09:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/20/2006 10:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/20/2006 11:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/20/2006 12:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/20/2006 01:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/20/2006 02:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/20/2006 03:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/20/2006 04:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/20/2006 05:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/20/2006 06:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/20/2006 07:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/20/2006 08:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/20/2006 09:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/20/2006 10:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","5"
"04/20/2006 11:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/20/2006 12:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","2"
"04/21/2006 01:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/21/2006 02:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/21/2006 03:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/21/2006 04:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/21/2006 05:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/21/2006 06:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","3"
"04/21/2006 07:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/21/2006 08:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/21/2006 09:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","4"
"04/21/2006 10:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","6"
"04/21/2006 11:00:00 AM","PM2.5","µg/m3","Halifax","TEOM","8"
"04/21/2006 12:00:00 PM","PM2.5","µg/m3","Halifax","TEOM","6"
